client_id,total_spent,avg_spent,txn_count,unique_merchants,unique_cards_used,yearly_income,calculated_age,total_debt,credit_score,num_credit_cards,per_capita_income,num_negative_txn,prop_negative,avg_card_limit,prop_credit_txn,cluster
0,625799.67,48.90970457209848,12795,518,2,59613.0,39,36199.0,763,4,29237.0,635,0.04962876123485736,25081.819460726845,0.4613520906604142,0
1,336187.37,33.37509877891393,10073,189,3,45360.0,49,14587.0,704,3,22247.0,142,0.01409709123399186,14115.737615407525,0.6917502233694034,1
2,291534.27,27.472132491519037,10612,146,5,27447.0,54,80850.0,673,5,13461.0,508,0.04787033546928006,10130.488032416133,0.3370712401055409,1
3,280685.46,46.77311448091985,6001,162,4,27943.0,54,18693.0,681,4,13705.0,54,0.00899850024995834,2241.723212797867,0.0,1
4,595722.36,39.60130027255202,15043,449,4,76431.0,60,115362.0,716,5,37485.0,657,0.04367479890979193,24192.718274280396,0.1654590174832148,0
5,292902.6,61.31517688926104,4777,235,2,20614.0,70,14042.0,711,2,19095.0,325,0.06803433117019049,15536.743144232782,0.0,1
11,585903.46,58.62552131278767,9994,343,5,67643.0,45,0.0,714,6,33175.0,212,0.021212727636581948,20541.9119471683,0.4113468080848509,0
13,242998.23,34.181773807849204,7109,266,4,32378.0,58,65919.0,588,4,15879.0,302,0.0424813616542411,6809.427486284991,0.3480095653397102,1
14,233831.77,40.01912887215472,5843,237,5,32232.0,84,21134.0,652,5,21314.0,547,0.09361629300017114,9483.658223515318,0.3729248673626562,1
16,378672.72,55.450683848294034,6829,360,5,22158.0,80,19101.0,681,5,15451.0,360,0.052716356714013764,9749.855469322009,0.01962219944354957,1
17,793586.04,44.78729273661042,17719,360,2,21867.0,82,21103.0,759,2,17850.0,544,0.030701506857046108,5315.5200632089845,0.4250239855522321,1
19,54420.25,16.65246328029376,3268,137,1,34903.0,88,1336.0,630,1,23071.0,11,0.0033659730722154224,55.0,0.0,1
20,280935.52,24.99426334519573,11240,317,8,23371.0,91,0.0,757,8,19477.0,632,0.056227758007117434,13539.441548042705,0.32580071174377223,1
21,289834.49,32.99948650802687,8783,233,3,43084.0,53,0.0,850,3,21131.0,549,0.06250711601958328,13128.007286804053,0.0,1
22,97891.4,32.8604900973481,2979,158,1,53966.0,62,135478.0,747,1,26467.0,141,0.0473313192346425,13600.0,1.0,1
24,358963.05,41.345663441603314,8682,227,1,38554.0,53,47186.0,708,1,18906.0,161,0.018544114259387238,8165.0,0.0,1
27,413891.13,42.302854660670484,9784,479,7,23821.0,84,22427.0,613,8,22304.0,645,0.06592395748160261,12063.670891251022,0.37704415372035976,1
28,409356.92,62.29750722873231,6571,471,3,54273.0,45,110237.0,789,4,26618.0,391,0.05950388068787095,18229.533099984783,0.37102419723025415,0
